side	eta	phi	depth	dphi	det	RBX	wedge	rm	BV/pix	card	QIE	rm_fib	fib_ch	pp col	pp row	pp coupler	pp LC	dodec	crate	uhtr	uhtr_fib	fedid	QIEid		i	cr	sl	tb	dcc	spigot	uhtr_fib	fib_ch	subdet	RM	rm_fib	fib_ch		i	cr	sl	tb	dcc	spigot	uhtr_fib	fib_ch	subdet	ieta	iphi	depth
1	27	63	4	2	ngHE	HEP17	17	2	30	2	11	4	4	1	2	HEP17_RM2A	4	4	34	11	15	1114	600078		4E280884	34	11	u	0	0	15	4	CRF	2	4	4		456F4	34	11	u	0	0	15	4	HE	27	63	4
1	18	64	3	1	ngHE	HEP17	17	2	29	2	12	4	5	1	2	HEP17_RM2A	4	4	34	11	15	1114	600078		4E280885	34	11	u	0	0	15	5	CRF	2	4	5		456F3	34	11	u	0	0	15	5	HE	18	64	3
1	27	63	7	2	ngHE	HEP17	17	2	41	3	1	5	0	2	2	HEP17_RM2B	1	5	34	11	16	1114	600463		4E2808A0	34	11	u	0	0	16	0	CRF	2	5	0		45707	34	11	u	0	0	16	0	HE	27	63	7
1	27	63	3	2	ngHE	HEP17	17	2	33	3	2	5	1	2	2	HEP17_RM2B	1	5	34	11	16	1114	600463		4E2808A1	34	11	u	0	0	16	1	CRF	2	5	1		45703	34	11	u	0	0	16	1	HE	27	63	3
1	27	63	5	2	ngHE	HEP17	17	2	35	3	3	5	2	2	2	HEP17_RM2B	1	5	34	11	16	1114	600463		4E2808A2	34	11	u	0	0	16	2	CRF	2	5	2		45705	34	11	u	0	0	16	2	HE	27	63	5
1	27	63	6	2	ngHE	HEP17	17	2	43	3	4	5	3	2	2	HEP17_RM2B	1	5	34	11	16	1114	600463		4E2808A3	34	11	u	0	0	16	3	CRF	2	5	3		45706	34	11	u	0	0	16	3	HE	27	63	6
1	29	63	3	2	ngHE	HEP17	17	2	42	3	5	5	4	2	2	HEP17_RM2B	1	5	34	11	16	1114	600463		4E2808A4	34	11	u	0	0	16	4	CRF	2	5	4		45703	34	11	u	0	0	16	4	HE	29	63	3
1	N/C	63		2	ngHE	HEP17	17	2	18	3	6	5	5	2	2	HEP17_RM2B	1	5	34	11	16	1114	600463		4E2808A5	34	11	u	0	0	16	5	CRF	2	5	5		45700	34	11	u	0	0	16	5	HE	N/C	63	0
1	27	63	1	2	ngHE	HEP17	17	2	1	4	1	7	0	2	2	HEP17_RM2B	3	6	34	11	17	1114	600501		4E2808E0	34	11	u	0	0	17	0	CRF	2	7	0		45711	34	11	u	0	0	17	0	HE	27	63	1
1	N/C	63		2	ngHE	HEP17	17	2	2	4	2	7	1	2	2	HEP17_RM2B	3	6	34	11	17	1114	600501		4E2808E1	34	11	u	0	0	17	1	CRF	2	7	1		45710	34	11	u	0	0	17	1	HE	N/C	63	0
1	18	64	2	1	ngHE	HEP17	17	2	10	4	3	7	2	2	2	HEP17_RM2B	3	6	34	11	17	1114	600501		4E2808E2	34	11	u	0	0	17	2	CRF	2	7	2		45712	34	11	u	0	0	17	2	HE	18	64	2
1	17	64	2	1	ngHE	HEP17	17	2	11	4	4	7	3	2	2	HEP17_RM2B	3	6	34	11	17	1114	600501		4E2808E3	34	11	u	0	0	17	3	CRF	2	7	3		45712	34	11	u	0	0	17	3	HE	17	64	2
1	16	64	4	1	ngHE	HEP17	17	2	12	4	5	7	4	2	2	HEP17_RM2B	3	6	34	11	17	1114	600501		4E2808E4	34	11	u	0	0	17	4	CRF	2	7	4		45714	34	11	u	0	0	17	4	HE	16	64	4
1	27	63	2	2	ngHE	HEP17	17	2	17	4	6	7	5	2	2	HEP17_RM2B	3	6	34	11	17	1114	600501		4E2808E5	34	11	u	0	0	17	5	CRF	2	7	5		45712	34	11	u	0	0	17	5	HE	27	63	2
1	27	65	1	2	ngHE	HEP17	17	3	8	1	7	2	0	1	3	HEP17_RM3A	2	7	34	11	18	1114	600028		4E280C40	34	11	u	0	0	18	0	CRF	3	2	0		45721	34	11	u	0	0	18	0	HE	27	65	1
