nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units],Net adjustment combined with first round
283562,-28,15,6,79.54,2.45,0.005,1.5,3,-15
245987,-28,15,5,79.52,2.13,0.004,1.5,3,-16
127765,-28,15,4,79.71,1.87,0.005,1.3,3,-14
24015,-28,15,3,78.81,3.31,0.021,2.2,4,-26
13862,-28,15,2,79.10,2.04,0.017,1.9,4,-21
1858466,-28,15,1,79.85,1.77,0.001,1.2,2,-17
118387,-28,13,7,79.81,3.93,0.011,1.2,2,-17
248600,-28,13,6,79.68,2.58,0.005,1.3,3,-13
338682,-28,13,5,79.78,2.22,0.004,1.2,2,-14
116100,-28,13,4,79.37,1.91,0.006,1.6,3,-15
21841,-28,13,3,78.89,2.73,0.018,2.1,4,-22
18612,-28,13,2,78.94,2.29,0.017,2.1,4,-20
1308040,-28,13,1,79.53,1.48,0.001,1.5,3,-14
167256,-28,11,7,79.59,3.22,0.008,1.4,3,-12
167307,-28,11,6,79.64,2.39,0.006,1.4,3,-12
65730,-28,11,5,79.70,2.30,0.009,1.3,3,-12
278223,-28,11,4,79.65,1.80,0.003,1.3,3,-13
16484,-28,11,3,78.79,2.30,0.018,2.2,4,-19
86986,-28,11,2,79.38,1.30,0.004,1.6,3,-12
888151,-28,11,1,79.66,1.76,0.002,1.3,3,-13
206498,-28,9,7,79.64,3.91,0.009,1.4,3,-15
283557,-28,9,6,79.71,2.60,0.005,1.3,3,-11
213244,-28,9,5,79.31,2.25,0.005,1.7,3,-12
212158,-28,9,4,79.76,1.92,0.004,1.2,2,-13
178588,-28,9,3,79.41,1.43,0.003,1.6,3,-11
303931,-28,9,2,79.74,1.19,0.002,1.3,3,-10
926332,-28,9,1,79.47,1.28,0.001,1.5,3,-11
101281,-28,7,7,79.63,3.11,0.010,1.4,3,-10
223237,-28,7,6,79.39,2.51,0.005,1.6,3,-11
279943,-28,7,5,79.72,2.11,0.004,1.3,3,-11
120547,-28,7,4,79.62,1.85,0.005,1.4,3,-13
81167,-28,7,3,79.45,1.69,0.006,1.5,3,-10
20353,-28,7,2,79.39,2.01,0.014,1.6,3,-17
847873,-28,7,1,79.60,1.67,0.002,1.4,3,-12
177427,-28,5,7,79.70,3.64,0.009,1.3,3,-17
254105,-28,5,6,79.77,2.64,0.005,1.2,2,-14
187965,-28,5,5,79.82,2.30,0.005,1.2,2,-15
172309,-28,5,4,79.69,1.95,0.005,1.3,3,-15
27744,-28,5,3,78.54,3.12,0.019,2.5,5,-25
18860,-28,5,2,78.52,2.41,0.018,2.5,5,-22
1687178,-28,5,1,79.62,1.49,0.001,1.4,3,-15
97567,-28,3,7,79.45,2.99,0.010,1.6,3,-13
100294,-28,3,6,79.49,2.52,0.008,1.5,3,-13
48697,-28,3,5,79.22,1.87,0.008,1.8,4,-14
24236,-28,3,4,79.63,1.83,0.012,1.4,3,-15
131796,-28,3,3,79.82,1.40,0.004,1.2,2,-12
297192,-28,3,2,79.54,1.15,0.002,1.5,3,-12
1009972,-28,3,1,79.37,1.67,0.002,1.6,3,-14
83097,-28,1,7,79.68,3.65,0.013,1.3,3,-15
352498,-28,1,6,79.88,2.79,0.005,1.1,2,-14
288860,-28,1,5,79.82,2.41,0.004,1.2,2,-15
95542,-28,1,4,79.87,2.21,0.007,1.1,2,-16
32180,-28,1,3,78.52,2.56,0.014,2.5,5,-21
25321,-28,1,2,78.88,1.99,0.013,2.1,4,-19
1442887,-28,1,1,79.27,1.38,0.001,1.7,3,-14
7431,-27,71,7,79.71,4.23,0.049,1.3,3,-13
13986,-27,71,6,79.39,3.32,0.028,1.6,3,-10
11026,-27,71,5,79.48,1.93,0.018,1.5,3,-11
17953,-27,71,4,79.56,1.71,0.013,1.4,3,-11
31967,-27,71,3,79.20,1.45,0.008,1.8,4,-10
135609,-27,71,2,79.47,1.43,0.004,1.5,3,-11
1008543,-27,71,1,79.51,2.26,0.002,1.5,3,-13
6880,-27,69,7,80.87,3.82,0.046,0.1,0,-16
19197,-27,69,6,80.59,3.05,0.022,0.4,1,-11
31618,-27,69,5,80.53,2.31,0.013,0.5,1,-12
31847,-27,69,4,80.80,1.77,0.010,0.2,0,-14
21983,-27,69,3,80.40,1.41,0.009,0.6,1,-12
49738,-27,69,2,80.63,1.31,0.006,0.4,1,-15
1047195,-27,69,1,80.94,2.24,0.002,0.1,0,-18
5967,-27,67,7,80.45,3.63,0.047,0.6,1,-13
13052,-27,67,6,80.44,3.10,0.027,0.6,1,-11
42779,-27,67,5,80.43,2.29,0.011,0.6,1,-11
38263,-27,67,4,80.86,1.96,0.010,0.1,0,-12
68414,-27,67,3,80.79,1.55,0.006,0.2,0,-11
122315,-27,67,2,80.59,1.40,0.004,0.4,1,-11
1432694,-27,67,1,80.92,2.30,0.002,0.1,0,-14
8060,-27,65,7,80.50,4.11,0.046,0.5,1,-17
22505,-27,65,6,80.54,2.99,0.020,0.5,1,-14
25795,-27,65,5,80.65,2.48,0.015,0.3,1,-13
23950,-27,65,4,80.61,1.83,0.012,0.4,1,-14
18725,-27,65,3,80.79,1.48,0.011,0.2,0,-14
18144,-27,65,2,80.31,1.35,0.010,0.7,1,-14
761643,-27,65,1,80.73,2.08,0.002,0.3,1,-15
9726,-27,63,7,80.50,3.91,0.040,0.5,1,-13
15596,-27,63,6,80.32,2.97,0.024,0.7,1,-10
9656,-27,63,5,80.59,1.94,0.020,0.4,1,-10
18361,-27,63,4,80.58,1.72,0.013,0.4,1,-13
63121,-27,63,3,80.81,1.57,0.006,0.2,0,-11
81093,-27,63,2,80.48,1.41,0.005,0.5,1,-11
648122,-27,63,1,80.79,2.22,0.003,0.2,0,-13
6427,-27,61,7,80.36,3.81,0.048,0.6,1,-17
18617,-27,61,6,80.48,3.16,0.023,0.5,1,-13
46841,-27,61,5,80.51,2.43,0.011,0.5,1,-13
28951,-27,61,4,80.57,1.89,0.011,0.4,1,-15
19206,-27,61,3,80.67,1.50,0.011,0.3,1,-12
25798,-27,61,2,80.58,1.24,0.008,0.4,1,-15
822445,-27,61,1,80.49,2.13,0.002,0.5,1,-17
9489,-27,59,7,80.31,3.94,0.040,0.7,1,-15
22167,-27,59,6,80.64,2.90,0.019,0.4,1,-11
26714,-27,59,5,80.80,2.18,0.013,0.2,0,-12
32545,-27,59,4,80.44,1.91,0.011,0.6,1,-13
80831,-27,59,3,80.46,1.64,0.006,0.5,1,-11
