nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units],Net adjustment combined with first round
126685,-27,59,2,80.42,1.41,0.004,0.6,1,-12
1403002,-27,59,1,80.82,2.44,0.002,0.2,0,-15
8896,-27,57,7,80.55,4.08,0.043,0.4,1,-15
17517,-27,57,6,80.32,3.28,0.025,0.7,1,-12
43165,-27,57,5,80.71,2.25,0.011,0.3,1,-11
24307,-27,57,4,80.73,1.91,0.012,0.3,1,-13
63213,-27,57,3,80.29,1.64,0.007,0.7,1,-13
138091,-27,57,2,80.72,1.44,0.004,0.3,1,-12
1603091,-27,57,1,81.13,2.29,0.002,-0.1,0,-15
11212,-27,55,7,80.77,4.19,0.040,0.2,0,-13
17641,-27,55,6,80.27,2.83,0.021,0.7,1,-11
17384,-27,55,5,80.32,2.18,0.017,0.7,1,-12
47496,-27,55,4,80.35,1.93,0.009,0.7,1,-12
27316,-27,55,3,80.65,1.54,0.009,0.4,1,-10
94406,-27,55,2,80.73,1.36,0.004,0.3,1,-10
1289354,-27,55,1,80.94,2.45,0.002,0.1,0,-13
9708,-27,53,7,80.69,3.96,0.040,0.3,1,-15
18337,-27,53,6,80.29,3.05,0.023,0.7,1,-12
53386,-27,53,5,80.40,2.48,0.011,0.6,1,-12
55134,-27,53,4,80.40,2.05,0.009,0.6,1,-14
73699,-27,53,3,80.71,1.62,0.006,0.3,1,-11
144839,-27,53,2,80.70,1.42,0.004,0.3,1,-11
1182183,-27,53,1,80.98,2.27,0.002,0.0,0,-14
13639,-27,51,7,80.38,4.00,0.034,0.6,1,-13
32518,-27,51,6,80.58,3.02,0.017,0.4,1,-9
51088,-27,51,5,80.68,2.35,0.010,0.3,1,-9
60955,-27,51,4,80.55,1.96,0.008,0.4,1,-11
45448,-27,51,3,80.66,1.53,0.007,0.3,1,-9
62620,-27,51,2,80.78,1.36,0.005,0.2,0,-10
800553,-27,51,1,80.85,2.25,0.003,0.1,0,-12
6613,-27,49,7,80.50,3.96,0.049,0.5,1,-15
18124,-27,49,6,80.51,3.11,0.023,0.5,1,-12
41170,-27,49,5,80.40,2.51,0.012,0.6,1,-12
44351,-27,49,4,80.82,2.00,0.009,0.2,0,-13
6907,-27,49,3,80.62,1.33,0.016,0.4,1,-11
32720,-27,49,2,80.77,1.42,0.008,0.2,0,-14
809005,-27,49,1,80.71,2.12,0.002,0.3,1,-14
11525,-27,47,7,80.56,4.01,0.037,0.4,1,-12
31406,-27,47,6,80.73,3.17,0.018,0.3,1,-9
47768,-27,47,5,80.73,2.43,0.011,0.3,1,-8
29405,-27,47,4,80.86,1.98,0.012,0.1,0,-11
86551,-27,47,3,80.43,1.69,0.006,0.6,1,-10
93639,-27,47,2,80.96,1.44,0.005,0.0,0,-10
945660,-27,47,1,81.00,2.37,0.002,0.0,0,-13
6952,-27,45,7,80.48,4.17,0.050,0.5,1,-17
19747,-27,45,6,80.25,3.05,0.022,0.7,1,-13
33660,-27,45,5,80.64,2.25,0.012,0.4,1,-12
36540,-27,45,4,80.65,1.89,0.010,0.4,1,-14
18093,-27,45,3,80.21,1.52,0.011,0.8,2,-13
13786,-27,45,2,80.54,1.26,0.011,0.5,1,-16
1458097,-27,45,1,81.02,2.32,0.002,-0.0,0,-18
9959,-27,43,7,80.71,4.26,0.043,0.3,1,-13
17441,-27,43,6,80.73,2.88,0.022,0.3,1,-10
18941,-27,43,5,80.70,2.18,0.016,0.3,1,-11
43208,-27,43,4,80.67,1.82,0.009,0.3,1,-11
68064,-27,43,3,80.76,1.57,0.006,0.2,0,-11
107093,-27,43,2,80.74,1.41,0.004,0.3,1,-10
1607020,-27,43,1,80.84,2.33,0.002,0.2,0,-13
10585,-27,41,7,80.57,4.16,0.040,0.4,1,-16
24610,-27,41,6,80.50,3.15,0.020,0.5,1,-13
34677,-27,41,5,80.56,2.50,0.013,0.4,1,-13
46127,-27,41,4,80.67,1.92,0.009,0.3,1,-14
45311,-27,41,3,80.55,1.53,0.007,0.5,1,-11
40787,-27,41,2,80.36,1.27,0.006,0.6,1,-13
748277,-27,41,1,80.59,2.12,0.002,0.4,1,-15
12313,-27,39,7,80.50,4.12,0.037,0.5,1,-12
13203,-27,39,6,80.53,2.68,0.023,0.5,1,-8
35634,-27,39,5,80.75,2.35,0.012,0.2,0,-11
40526,-27,39,4,80.77,1.81,0.009,0.2,0,-12
45898,-27,39,3,80.45,1.57,0.007,0.5,1,-10
89327,-27,39,2,80.52,1.37,0.005,0.5,1,-11
936268,-27,39,1,80.93,2.25,0.002,0.1,0,-13
8796,-27,37,7,80.57,3.92,0.042,0.4,1,-16
22443,-27,37,6,80.66,3.00,0.020,0.3,1,-12
39793,-27,37,5,80.63,2.22,0.011,0.4,1,-12
37721,-27,37,4,80.61,1.81,0.009,0.4,1,-14
47239,-27,37,3,80.83,1.52,0.007,0.2,0,-12
135270,-27,37,2,80.59,1.39,0.004,0.4,1,-13
1106632,-27,37,1,80.93,2.25,0.002,0.1,0,-15
10323,-27,35,7,80.63,4.04,0.040,0.4,1,-15
15266,-27,35,6,80.47,2.88,0.023,0.5,1,-12
45353,-27,35,5,80.52,2.43,0.011,0.5,1,-13
20137,-27,35,4,80.71,1.67,0.012,0.3,1,-10
42733,-27,35,3,80.46,1.59,0.008,0.5,1,-13
124410,-27,35,2,80.58,1.40,0.004,0.4,1,-11
1306103,-27,35,1,80.84,2.45,0.002,0.2,0,-15
6763,-27,33,7,80.37,3.65,0.044,0.6,1,-13
24886,-27,33,6,80.32,3.09,0.020,0.7,1,-10
46899,-27,33,5,80.62,2.41,0.011,0.4,1,-10
37876,-27,33,4,80.80,1.99,0.010,0.2,0,-13
86737,-27,33,3,80.59,1.58,0.005,0.4,1,-9
87852,-27,33,2,80.61,1.42,0.005,0.4,1,-11
1145819,-27,33,1,80.91,2.32,0.002,0.1,0,-13
11055,-27,31,7,80.46,4.12,0.039,0.5,1,-11
21137,-27,31,6,80.58,3.03,0.021,0.4,1,-9
34160,-27,31,5,80.34,2.49,0.013,0.7,1,-9
41146,-27,31,4,80.55,1.94,0.010,0.5,1,-10
47646,-27,31,3,80.34,1.53,0.007,0.7,1,-8
140802,-27,31,2,80.64,1.42,0.004,0.4,1,-9
1443983,-27,31,1,81.06,2.32,0.002,-0.1,0,-11
7564,-27,29,7,80.55,4.06,0.047,0.5,1,-15
30946,-27,29,6,80.29,3.05,0.017,0.7,1,-12
43229,-27,29,5,80.60,2.32,0.011,0.4,1,-12
45249,-27,29,4,80.47,1.90,0.009,0.5,1,-13
63691,-27,29,3,80.63,1.60,0.006,0.4,1,-11
128161,-27,29,2,80.88,1.41,0.004,0.1,0,-12
1538245,-27,29,1,80.93,2.23,0.002,0.1,0,-14
9973,-27,27,7,80.65,3.76,0.038,0.3,1,-11
30960,-27,27,6,80.76,3.03,0.017,0.2,0,-9
56936,-27,27,5,80.59,2.25,0.009,0.4,1,-8
44704,-27,27,4,80.79,1.83,0.009,0.2,0,-10
90612,-27,27,3,80.55,1.57,0.005,0.4,1,-8
110311,-27,27,2,80.96,1.33,0.004,0.0,0,-9
1430804,-27,27,1,80.81,2.37,0.002,0.2,0,-12
7995,-27,25,7,80.77,3.75,0.042,0.2,0,-16
28569,-27,25,6,80.43,3.04,0.018,0.6,1,-12
44476,-27,25,5,80.67,2.36,0.011,0.3,1,-12
42361,-27,25,4,80.77,1.91,0.009,0.2,0,-13
57270,-27,25,3,80.72,1.54,0.006,0.3,1,-12
121921,-27,25,2,80.44,1.43,0.004,0.6,1,-13
1131950,-27,25,1,80.71,2.17,0.002,0.3,1,-14
13652,-27,23,7,80.47,4.15,0.036,0.5,1,-13
21168,-27,23,6,80.50,3.05,0.021,0.5,1,-9
28517,-27,23,5,80.45,2.25,0.013,0.5,1,-11
37816,-27,23,4,80.80,1.89,0.010,0.2,0,-11
52197,-27,23,3,80.40,1.59,0.007,0.6,1,-10
167914,-27,23,2,80.38,1.56,0.004,0.6,1,-11
1172392,-27,23,1,80.85,2.42,0.002,0.1,0,-13
6500,-27,21,7,80.41,3.72,0.046,0.6,1,-17
32912,-27,21,6,80.41,3.11,0.017,0.6,1,-15
45282,-27,21,5,80.29,2.36,0.011,0.7,1,-14
53402,-27,21,4,79.44,1.90,0.008,1.6,3,-13
79003,-27,21,3,80.36,1.60,0.006,0.6,1,-14
164236,-27,21,2,79.42,1.33,0.003,1.6,3,-12
1230632,-27,21,1,79.71,2.34,0.002,1.3,3,-15
6547,-27,19,7,79.67,3.92,0.048,1.3,3,-11
23825,-27,19,6,79.41,2.91,0.019,1.6,3,-9
45400,-27,19,5,79.74,2.23,0.010,1.3,3,-9
30078,-27,19,4,79.56,1.75,0.010,1.4,3,-11
74009,-27,19,3,79.82,1.56,0.006,1.2,2,-10
137787,-27,19,2,79.61,1.38,0.004,1.4,3,-9
1285687,-27,19,1,79.54,2.33,0.002,1.5,3,-12
8088,-27,17,7,79.46,3.96,0.044,1.5,3,-15
27572,-27,17,6,79.68,3.00,0.018,1.3,3,-11
51044,-27,17,5,79.56,2.38,0.011,1.4,3,-11
35612,-27,17,4,79.52,1.83,0.010,1.5,3,-12
54222,-27,17,3,79.26,1.58,0.007,1.7,3,-11
118762,-27,17,2,79.24,1.44,0.004,1.8,4,-12
1144298,-27,17,1,79.47,2.09,0.002,1.5,3,-13
11014,-27,15,7,79.51,4.00,0.038,1.5,3,-14
8962,-27,15,6,79.27,2.81,0.030,1.7,3,-11
45264,-27,15,5,79.63,2.32,0.011,1.4,3,-10
16721,-27,15,4,79.58,1.67,0.013,1.4,3,-11
47640,-27,15,3,79.42,1.50,0.007,1.6,3,-10
125584,-27,15,2,79.32,1.47,0.004,1.7,3,-12
1115469,-27,15,1,79.79,2.20,0.002,1.2,2,-13
4467,-27,13,7,79.77,3.77,0.056,1.2,2,-16
20548,-27,13,6,79.29,2.98,0.021,1.7,3,-13
52814,-27,13,5,79.48,2.33,0.010,1.5,3,-12
26836,-27,13,4,79.56,1.81,0.011,1.4,3,-14
74856,-27,13,3,79.62,1.54,0.006,1.4,3,-11
127850,-27,13,2,79.77,1.33,0.004,1.2,2,-12
1299987,-27,13,1,79.60,2.11,0.002,1.4,3,-14
10889,-27,11,7,79.56,4.01,0.038,1.4,3,-16
12190,-27,11,6,79.15,2.93,0.027,1.8,4,-12
46494,-27,11,5,79.47,2.25,0.010,1.5,3,-13
24138,-27,11,4,79.40,1.66,0.011,1.6,3,-11
82625,-27,11,3,79.35,1.54,0.005,1.6,3,-13
178983,-27,11,2,79.57,1.42,0.003,1.4,3,-10
1131552,-27,11,1,79.84,2.35,0.002,1.2,2,-13
8482,-27,9,7,79.17,3.95,0.043,1.8,4,-14
22899,-27,9,6,79.73,2.94,0.019,1.3,3,-9
35724,-27,9,5,79.74,2.15,0.011,1.3,3,-9
19493,-27,9,4,79.39,1.60,0.011,1.6,3,-12
49436,-27,9,3,79.50,1.53,0.007,1.5,3,-10
60473,-27,9,2,79.66,1.33,0.005,1.3,3,-14
797995,-27,9,1,79.84,1.98,0.002,1.2,2,-16
10554,-27,7,7,79.57,3.87,0.038,1.4,3,-10
27517,-27,7,6,79.54,2.96,0.018,1.5,3,-7
36695,-27,7,5,79.81,2.31,0.012,1.2,2,-7
52777,-27,7,4,79.63,1.95,0.008,1.4,3,-9
75182,-27,7,3,79.70,1.56,0.006,1.3,3,-7
150211,-27,7,2,79.56,1.40,0.004,1.4,3,-8
890510,-27,7,1,79.78,2.21,0.002,1.2,2,-11
7473,-27,5,7,79.55,3.99,0.046,1.4,3,-16
14944,-27,5,6,79.23,2.94,0.024,1.8,4,-11
21480,-27,5,5,79.31,2.26,0.015,1.7,3,-12
24881,-27,5,4,79.46,1.77,0.011,1.5,3,-13
63903,-27,5,3,79.55,1.59,0.006,1.5,3,-11
132830,-27,5,2,79.52,1.38,0.004,1.5,3,-13
1152481,-27,5,1,79.71,2.28,0.002,1.3,3,-15
13987,-27,3,7,79.20,4.05,0.034,1.8,4,-14
17313,-27,3,6,79.59,2.93,0.022,1.4,3,-10
17931,-27,3,5,79.41,2.06,0.015,1.6,3,-11
26804,-27,3,4,79.69,1.80,0.011,1.3,3,-12
81890,-27,3,3,79.76,1.57,0.005,1.2,2,-11
119566,-27,3,2,79.51,1.41,0.004,1.5,3,-12
1418049,-27,3,1,79.75,2.37,0.002,1.2,2,-15
9171,-27,1,7,79.69,3.88,0.041,1.3,3,-15
23216,-27,1,6,79.14,3.11,0.020,1.9,4,-12
46837,-27,1,5,79.50,2.42,0.011,1.5,3,-13
48211,-27,1,4,79.42,1.89,0.009,1.6,3,-13
64948,-27,1,3,79.48,1.56,0.006,1.5,3,-11
95259,-27,1,2,79.68,1.38,0.004,1.3,3,-12
1482699,-27,1,1,79.52,2.26,0.002,1.5,3,-15
3925,-26,71,7,79.25,3.71,0.059,1.8,4,-13
22993,-26,71,6,79.53,2.91,0.019,1.5,3,-9
44451,-26,71,5,79.69,2.37,0.011,1.3,3,-12
36646,-26,71,4,79.42,1.84,0.010,1.6,3,-10
82869,-26,71,3,79.69,1.73,0.006,1.3,3,-11
152728,-26,71,2,79.69,1.54,0.004,1.3,3,-11
2110422,-26,71,1,80.05,2.67,0.002,0.9,2,-15
4738,-26,69,7,80.40,3.82,0.055,0.6,1,-15
21248,-26,69,6,80.43,2.92,0.020,0.6,1,-12
35382,-26,69,5,80.36,2.35,0.012,0.6,1,-12
53960,-26,69,4,80.71,2.09,0.009,0.3,1,-13
102990,-26,69,3,80.71,1.82,0.006,0.3,1,-13
224819,-26,69,2,81.78,1.65,0.003,-0.8,-2,-18
1522581,-26,69,1,80.74,2.46,0.002,0.3,1,-16
5786,-26,67,7,80.32,4.00,0.053,0.7,1,-14
26379,-26,67,6,80.65,2.89,0.018,0.3,1,-10
42380,-26,67,5,80.39,2.39,0.012,0.6,1,-12
46884,-26,67,4,80.55,2.02,0.009,0.4,1,-12
81168,-26,67,3,80.81,1.71,0.006,0.2,0,-12
107075,-26,67,2,80.68,1.53,0.005,0.3,1,-11
1816374,-26,67,1,80.94,2.71,0.002,0.1,0,-15
7617,-26,65,7,80.65,4.18,0.048,0.3,1,-17
21312,-26,65,6,80.52,3.06,0.021,0.5,1,-13
46763,-26,65,5,80.82,2.45,0.011,0.2,0,-14
40935,-26,65,4,80.59,1.97,0.010,0.4,1,-14
64706,-26,65,3,80.48,1.70,0.007,0.5,1,-14
127519,-26,65,2,80.58,1.58,0.004,0.4,1,-14
1877398,-26,65,1,80.99,2.49,0.002,0.0,0,-18
5336,-26,63,7,80.79,4.01,0.055,0.2,0,-15
17108,-26,63,6,80.62,2.83,0.022,0.4,1,-11
37818,-26,63,5,80.55,2.32,0.012,0.4,1,-13
33886,-26,63,4,80.38,1.94,0.011,0.6,1,-13
85796,-26,63,3,80.90,1.75,0.006,0.1,0,-13
127583,-26,63,2,80.34,1.61,0.005,0.7,1,-13
1694870,-26,63,1,80.95,2.68,0.002,0.1,0,-16
4882,-26,61,7,80.34,4.15,0.059,0.7,1,-16
21114,-26,61,6,80.71,3.05,0.021,0.3,1,-12
33875,-26,61,5,80.53,2.32,0.013,0.5,1,-13
33471,-26,61,4,80.63,1.96,0.011,0.4,1,-14
51909,-26,61,3,80.34,1.67,0.007,0.7,1,-15
129230,-26,61,2,80.31,1.61,0.004,0.7,1,-17
1381306,-26,61,1,80.58,2.57,0.002,0.4,1,-18
4176,-26,59,7,80.65,3.80,0.059,0.3,1,-12
18001,-26,59,6,80.60,2.90,0.022,0.4,1,-10
34522,-26,59,5,80.56,2.26,0.012,0.4,1,-12
33286,-26,59,4,80.58,1.94,0.011,0.4,1,-14
81413,-26,59,3,80.78,1.81,0.006,0.2,0,-13
123097,-26,59,2,80.51,1.57,0.004,0.5,1,-13
1638655,-26,59,1,81.07,2.57,0.002,-0.1,0,-16
5427,-26,57,7,80.27,4.18,0.057,0.7,1,-16
22136,-26,57,6,80.63,3.18,0.021,0.4,1,-12
38287,-26,57,5,80.59,2.40,0.012,0.4,1,-11
30908,-26,57,4,80.59,1.86,0.011,0.4,1,-13
62133,-26,57,3,80.37,1.71,0.007,0.6,1,-13
157798,-26,57,2,80.80,1.57,0.004,0.2,0,-14
1591268,-26,57,1,80.62,2.54,0.002,0.4,1,-16
5450,-26,55,7,80.83,3.87,0.052,0.2,0,-13
25053,-26,55,6,80.65,3.06,0.019,0.3,1,-9
44520,-26,55,5,80.64,2.39,0.011,0.4,1,-12
51699,-26,55,4,80.34,1.99,0.009,0.7,1,-12
70134,-26,55,3,80.93,1.64,0.006,0.1,0,-11
113546,-26,55,2,80.79,1.53,0.005,0.2,0,-12
1352814,-26,55,1,80.61,2.62,0.002,0.4,1,-15
6787,-26,53,7,80.77,4.11,0.050,0.2,0,-16
20927,-26,53,6,80.40,3.07,0.021,0.6,1,-12
39291,-26,53,5,80.49,2.48,0.012,0.5,1,-13
34299,-26,53,4,80.51,2.06,0.011,0.5,1,-12
70753,-26,53,3,80.52,1.75,0.007,0.5,1,-13
173314,-26,53,2,80.59,1.61,0.004,0.4,1,-13
1654531,-26,53,1,80.60,2.67,0.002,0.4,1,-16
5268,-26,51,7,80.58,3.93,0.054,0.4,1,-12
20524,-26,51,6,80.41,2.92,0.020,0.6,1,-9
46921,-26,51,5,80.47,2.37,0.011,0.5,1,-10
43923,-26,51,4,80.71,2.00,0.010,0.3,1,-11
81326,-26,51,3,80.60,1.76,0.006,0.4,1,-11
145782,-26,51,2,80.74,1.61,0.004,0.3,1,-11
1459543,-26,51,1,80.93,2.62,0.002,0.1,0,-14
5208,-26,49,7,80.53,4.02,0.056,0.5,1,-14
19652,-26,49,6,80.41,3.01,0.021,0.6,1,-12
46009,-26,49,5,80.61,2.44,0.011,0.4,1,-12
40114,-26,49,4,80.77,2.05,0.010,0.2,0,-13
65035,-26,49,3,80.65,1.75,0.007,0.4,1,-12
130897,-26,49,2,80.67,1.54,0.004,0.3,1,-13
1619795,-26,49,1,80.91,2.63,0.002,0.1,0,-16
6275,-26,47,7,80.63,4.01,0.051,0.4,1,-12
23995,-26,47,6,80.71,2.86,0.018,0.3,1,-9
53283,-26,47,5,80.35,2.43,0.011,0.6,1,-12
55869,-26,47,4,80.65,1.96,0.008,0.3,1,-11
83620,-26,47,3,80.61,1.74,0.006,0.4,1,-10
99400,-26,47,2,80.76,1.56,0.005,0.2,0,-11
1549912,-26,47,1,80.86,2.55,0.002,0.1,0,-13
5117,-26,45,7,80.56,4.03,0.056,0.4,1,-15
16916,-26,45,6,80.37,2.90,0.022,0.6,1,-13
35590,-26,45,5,80.46,2.34,0.012,0.5,1,-13
38904,-26,45,4,80.35,2.03,0.010,0.6,1,-14
44439,-26,45,3,80.42,1.71,0.008,0.6,1,-14
141375,-26,45,2,80.89,1.42,0.004,0.1,0,-12
1915437,-26,45,1,80.82,2.48,0.002,0.2,0,-16
5764,-26,43,7,80.73,4.09,0.054,0.3,1,-13
20980,-26,43,6,80.57,3.05,0.021,0.4,1,-9
40754,-26,43,5,80.73,2.21,0.011,0.3,1,-11
37191,-26,43,4,80.48,2.01,0.010,0.5,1,-12
87367,-26,43,3,80.72,1.73,0.006,0.3,1,-11
104488,-26,43,2,80.67,1.63,0.005,0.3,1,-12
1409112,-26,43,1,80.60,2.51,0.002,0.4,1,-15
6422,-26,41,7,80.32,3.90,0.049,0.7,1,-15
22217,-26,41,6,80.45,3.09,0.021,0.6,1,-13
41527,-26,41,5,80.91,2.39,0.012,0.1,0,-13
45990,-26,41,4,80.69,2.07,0.010,0.3,1,-13
63414,-26,41,3,80.75,1.63,0.006,0.3,1,-12
130897,-26,41,2,80.48,1.45,0.004,0.5,1,-13
2041877,-26,41,1,80.81,2.53,0.002,0.2,0,-17
5903,-26,39,7,80.50,4.00,0.052,0.5,1,-13
23526,-26,39,6,80.39,3.01,0.020,0.6,1,-8
42374,-26,39,5,80.75,2.24,0.011,0.2,0,-11
52490,-26,39,4,80.72,2.04,0.009,0.3,1,-12
70747,-26,39,3,80.64,1.72,0.006,0.4,1,-10
139989,-26,39,2,80.53,1.62,0.004,0.5,1,-12
1792330,-26,39,1,80.64,2.50,0.002,0.4,1,-13
5890,-26,37,7,80.28,3.89,0.051,0.7,1,-15
21168,-26,37,6,80.48,3.06,0.021,0.5,1,-13
49406,-26,37,5,80.63,2.43,0.011,0.4,1,-14
43362,-26,37,4,80.78,2.05,0.010,0.2,0,-13
72273,-26,37,3,80.40,1.75,0.007,0.6,1,-15
163483,-26,37,2,80.90,1.61,0.004,0.1,0,-15
1291138,-26,37,1,80.49,2.45,0.002,0.5,1,-16
4736,-26,35,7,80.52,3.94,0.057,0.5,1,-13
19265,-26,35,6,80.46,2.83,0.020,0.5,1,-10
50359,-26,35,5,80.44,2.29,0.010,0.6,1,-11
47765,-26,35,4,80.47,2.06,0.009,0.5,1,-13
54079,-26,35,3,80.40,1.75,0.008,0.6,1,-13
127959,-26,35,2,80.55,1.58,0.004,0.4,1,-12
1694579,-26,35,1,80.92,2.54,0.002,0.1,0,-15
4434,-26,33,7,80.52,4.00,0.060,0.5,1,-13
18322,-26,33,6,80.28,2.90,0.021,0.7,1,-10
25073,-26,33,5,80.70,2.32,0.015,0.3,1,-9
24760,-26,33,4,80.49,1.92,0.012,0.5,1,-12
64781,-26,33,3,80.45,1.70,0.007,0.6,1,-10
100795,-26,33,2,80.53,1.59,0.005,0.5,1,-12
1751261,-26,33,1,80.74,2.45,0.002,0.3,1,-14
5375,-26,31,7,80.51,3.82,0.052,0.5,1,-11
26254,-26,31,6,80.45,3.16,0.020,0.6,1,-9
55007,-26,31,5,80.47,2.45,0.010,0.5,1,-10
44908,-26,31,4,80.40,1.96,0.009,0.6,1,-10
60752,-26,31,3,80.75,1.63,0.007,0.2,0,-9
147153,-26,31,2,80.50,1.58,0.004,0.5,1,-10
2103120,-26,31,1,80.66,2.60,0.002,0.3,1,-12
5598,-26,29,7,80.49,4.19,0.056,0.5,1,-14
20287,-26,29,6,80.72,2.95,0.021,0.3,1,-11
36242,-26,29,5,80.29,2.37,0.012,0.7,1,-12
38797,-26,29,4,80.82,1.96,0.010,0.2,0,-13
70496,-26,29,3,80.78,1.71,0.006,0.2,0,-13
166494,-26,29,2,80.38,1.62,0.004,0.6,1,-14
1933945,-26,29,1,80.72,2.60,0.002,0.3,1,-15
5181,-26,27,7,80.62,4.11,0.057,0.4,1,-12
22626,-26,27,6,80.40,2.97,0.020,0.6,1,-9
43259,-26,27,5,80.67,2.38,0.011,0.3,1,-10
35827,-26,27,4,80.66,1.89,0.010,0.3,1,-10
80476,-26,27,3,80.81,1.64,0.006,0.2,0,-10
147707,-26,27,2,80.45,1.53,0.004,0.5,1,-10
1744997,-26,27,1,81.02,2.60,0.002,-0.0,0,-14
6211,-26,25,7,80.41,4.04,0.051,0.6,1,-15
21172,-26,25,6,80.55,2.98,0.020,0.4,1,-11
45307,-26,25,5,80.37,2.56,0.012,0.6,1,-12
47776,-26,25,4,80.51,1.96,0.009,0.5,1,-15
74388,-26,25,3,80.60,1.72,0.006,0.4,1,-12
158027,-26,25,2,80.78,1.60,0.004,0.2,0,-15
1579465,-26,25,1,80.86,2.35,0.002,0.1,0,-18
6211,-26,23,7,80.65,3.93,0.050,0.4,1,-12
22625,-26,23,6,80.39,2.82,0.019,0.6,1,-10
51330,-26,23,5,80.37,2.34,0.010,0.6,1,-12
57703,-26,23,4,80.81,2.03,0.008,0.2,0,-12
71323,-26,23,3,80.83,1.76,0.007,0.2,0,-12
137017,-26,23,2,80.71,1.55,0.004,0.3,1,-11
2139096,-26,23,1,81.05,2.56,0.002,-0.1,0,-15
5696,-26,21,7,80.69,3.93,0.052,0.3,1,-17
21343,-26,21,6,80.56,2.99,0.020,0.4,1,-14
39698,-26,21,5,80.49,2.45,0.012,0.5,1,-15
39835,-26,21,4,79.45,2.06,0.010,1.6,3,-13
80095,-26,21,3,80.80,1.72,0.006,0.2,0,-15
136835,-26,21,2,79.41,1.50,0.004,1.6,3,-15
2080408,-26,21,1,79.68,2.61,0.002,1.3,3,-17
6557,-26,19,7,79.53,3.86,0.048,1.5,3,-12
24252,-26,19,6,79.75,2.95,0.019,1.3,3,-8
51101,-26,19,5,79.52,2.36,0.010,1.5,3,-12
45278,-26,19,4,79.64,1.90,0.009,1.4,3,-10
89779,-26,19,3,79.79,1.70,0.006,1.2,2,-12
154241,-26,19,2,79.74,1.55,0.004,1.3,3,-10
2067191,-26,19,1,80.02,2.51,0.002,1.0,2,-13
6472,-26,17,7,79.70,4.08,0.051,1.3,3,-14
22817,-26,17,6,79.45,3.10,0.021,1.5,3,-12
42061,-26,17,5,79.31,2.35,0.011,1.7,3,-12
40539,-26,17,4,79.61,1.97,0.010,1.4,3,-12
75220,-26,17,3,79.46,1.61,0.006,1.5,3,-13
149785,-26,17,2,79.65,1.51,0.004,1.4,3,-13
1447476,-26,17,1,79.70,2.23,0.002,1.3,3,-14
5085,-26,15,7,79.50,3.75,0.053,1.5,3,-14
20775,-26,15,6,79.63,2.87,0.020,1.4,3,-11
43229,-26,15,5,79.38,2.25,0.011,1.6,3,-14
43139,-26,15,4,79.52,2.03,0.010,1.5,3,-13
75810,-26,15,3,79.71,1.70,0.006,1.3,3,-13
155160,-26,15,2,79.39,1.61,0.004,1.6,3,-15
983728,-26,15,1,79.60,2.65,0.003,1.4,3,-16
4449,-26,13,7,79.75,4.08,0.061,1.2,2,-15
17432,-26,13,6,79.39,2.96,0.022,1.6,3,-10
44702,-26,13,5,79.32,2.43,0.011,1.7,3,-13
32085,-26,13,4,79.47,1.91,0.011,1.5,3,-13
91878,-26,13,3,79.46,1.70,0.006,1.5,3,-12
149129,-26,13,2,79.74,1.55,0.004,1.3,3,-13
1952489,-26,13,1,79.71,2.52,0.002,1.3,3,-15
6871,-26,11,7,79.25,3.80,0.046,1.8,4,-12
16576,-26,11,6,79.68,2.84,0.022,1.3,3,-9
40113,-26,11,5,79.69,2.18,0.011,1.3,3,-11
61289,-26,11,4,79.31,2.11,0.009,1.7,3,-13
78892,-26,11,3,79.54,1.69,0.006,1.5,3,-11
96753,-26,11,2,79.33,1.48,0.005,1.7,3,-11
1829273,-26,11,1,79.69,2.62,0.002,1.3,3,-13
6402,-26,9,7,79.50,4.16,0.052,1.5,3,-14
22682,-26,9,6,79.70,3.05,0.020,1.3,3,-10
47372,-26,9,5,79.27,2.41,0.011,1.7,3,-11
36018,-26,9,4,79.49,2.01,0.011,1.5,3,-12
73808,-26,9,3,79.77,1.73,0.006,1.2,2,-12
148021,-26,9,2,79.62,1.54,0.004,1.4,3,-12
1545168,-26,9,1,79.53,2.35,0.002,1.5,3,-14
5968,-26,7,7,79.49,3.81,0.049,1.5,3,-11
18611,-26,7,6,79.37,2.83,0.021,1.6,3,-8
45406,-26,7,5,79.47,2.32,0.011,1.5,3,-10
37085,-26,7,4,79.66,1.91,0.010,1.3,3,-9
68292,-26,7,3,79.61,1.62,0.006,1.4,3,-9
186193,-26,7,2,79.53,1.56,0.004,1.5,3,-10
1582556,-26,7,1,79.87,2.48,0.002,1.1,2,-13
6969,-26,5,7,79.28,4.23,0.051,1.7,3,-16
26023,-26,5,6,79.65,3.19,0.020,1.3,3,-13
46409,-26,5,5,79.74,2.33,0.011,1.3,3,-12
38095,-26,5,4,79.69,1.92,0.010,1.3,3,-12
66910,-26,5,3,79.50,1.67,0.006,1.5,3,-15
170095,-26,5,2,79.47,1.63,0.004,1.5,3,-16
1748656,-26,5,1,79.72,2.48,0.002,1.3,3,-17
4782,-26,3,7,79.24,3.66,0.053,1.8,4,-12
19387,-26,3,6,79.72,2.83,0.020,1.3,3,-9
43861,-26,3,5,79.36,2.26,0.011,1.6,3,-12
40734,-26,3,4,79.75,1.88,0.009,1.2,2,-13
