iEta,iPhi,Depth,CapID,RM,RM fiber,channel,Best DAC setting,Best mean pedestal,Error on best mean pedestal
24,63,1,1,1,7,3,9,9.18,0.21
24,65,1,1,4,2,3,0,9.08,0.2
24,63,2,1,1,1,4,8,9.05,0.2
24,65,2,1,4,8,4,0,8.78,0.2
24,63,3,1,1,1,3,9,9.58,0.22
24,65,3,1,4,8,3,8,8.61,0.19
24,63,4,1,1,8,1,8,8.97,0.2
24,65,4,1,4,3,4,9,9.6,0.22
24,63,5,1,1,3,1,10,9.41,0.21
24,65,5,1,4,6,1,9,9.09,0.2
24,63,6,1,1,3,0,8,8.67,0.2
24,65,6,1,4,3,0,8,8.79,0.2
25,63,1,1,2,2,5,9,8.96,0.2
25,65,1,1,3,7,5,1,8.58,0.19
25,63,2,1,2,8,5,9,9.44,0.21
25,65,2,1,3,1,5,10,9.5,0.21
25,63,3,1,2,6,5,9,9.43,0.21
25,65,3,1,3,3,5,0,8.8,0.2
25,63,4,1,2,3,1,10,9.57,0.21
25,65,4,1,3,5,1,11,9.57,0.21
25,63,5,1,2,6,3,0,9.08,0.2
25,65,5,1,3,3,2,0,9.4,0.21
25,63,6,1,2,6,2,9,8.35,0.19
25,65,6,1,3,3,3,0,9.56,0.21
26,63,1,1,1,7,5,8,8.42,0.19
26,65,1,1,4,2,5,0,8.86,0.2
26,63,2,1,1,1,5,8,8.97,0.2
26,65,2,1,4,8,5,10,9.08,0.2
26,63,3,1,1,3,5,1,9.61,0.22
26,65,3,1,4,6,5,9,8.74,0.2
26,63,4,1,1,5,1,9,9.16,0.21
26,65,4,1,4,3,1,9,8.81,0.2
26,63,5,1,1,3,2,8,9.25,0.21
26,65,5,1,4,6,3,9,9.56,0.21
26,63,6,1,1,3,3,1,8.67,0.19
26,65,6,1,4,6,2,0,8.56,0.19
26,63,7,1,1,4,4,8,8.69,0.2
26,65,7,1,4,5,4,8,8.83,0.2
27,63,1,1,2,7,0,9,9.61,0.22
27,65,1,1,3,2,0,0,9.5,0.21
27,63,2,1,2,7,5,9,9,0.2
27,65,2,1,3,2,5,10,8.53,0.19
27,63,3,1,2,5,1,8,8.9,0.2
27,65,3,1,3,4,2,9,8.52,0.19
27,63,4,1,2,4,4,9,8.78,0.2
27,65,4,1,3,6,1,0,9.05,0.2
27,63,5,1,2,5,2,9,9.61,0.22
27,65,5,1,3,4,1,0,8.46,0.19
27,63,6,1,2,5,3,0,9.52,0.21
27,65,6,1,3,4,5,9,8.49,0.19
27,63,7,1,2,5,0,10,9.6,0.22
27,65,7,1,3,4,3,9,9.56,0.21
28,63,1,1,1,2,1,1,9.07,0.2
